Decade,Magnitude,Country
1920s,8.3,Japan
1920s,6.8,Japan
1920s,7.6,Japan
1930s,7.3,Japan
1930s,7.2,Japan
1940s,7.2,Japan
1940s,7.1,Japan
1940s,6.1,Japan
1950s,7.3,USA
1950s,8.6,USA
1950s,7.8,USA
1950s,7.3,USA
1960s,9.2,USA
1960s,8.7,USA
1960s,6.7,USA
1960s,5.3,USA
1970s,6.5,USA
1970s,7.6,USA
1970s,7.2,USA
1980s,6.0,Indonesia
1980s,7.2,Indonesia
1980s,5.9,Indonesia
1980s,6.8,Indonesia
1990s,7.8,Indonesia
1990s,7.2,Indonesia
1990s,6.8,Indonesia
