Tennis_Player,Grand_Slam_Tournaments,Wins
Roger_Federer,Australian_Open,6
Roger_Federer,Roland_Garros,1
Roger_Federer,Wimbledon,8
Roger_Federer,US_Open,5
Rafael_Nadal,Australian_Open,1
Rafael_Nadal,Roland_Garros,11
Rafael_Nadal,Wimbledon,2
Rafael_Nadal,US_Open,3
Pete_Sampras,Australian_Open,2
Pete_Sampras,Roland_Garros,0
Pete_Sampras,Wimbledon,7
Pete_Sampras,US_Open,5
Andre_Agassi,Australian_Open,4
Andre_Agassi,Roland_Garros,1
Andre_Agassi,Wimbledon,1
Andre_Agassi,US_Open,2
