Rank,Country,Athlete,Result
1,US,Simone Biles,15.966
2,US,Alexandra Raisman,15.500
3,GB,Amy Tinkler,14.933
4,ITA,Vanessa Ferrari,14.766
5,CHN,Yan Wang,14.666
6,ITA,Erika Fasana,14.533
7,JPN,Mai Murakami,14.533
8,SUI,Giulia Steingruber,11.800
